Data,Cidade,Temperatura_C,Pressao_hPa,Umidade_Perc,Precipitacao_mm
2021-02-05,Campo Grande,22.9,1010.7,0,0.4
2021-02-05,Dourados,23.8,1011.0,0,0.0
2021-02-05,Três Lagoas,26.3,1009.2,0,6.7
2021-02-05,Corumbá,26.8,1010.1,0,0.0
2021-02-05,Ponta Porã,21.0,1012.9,0,0.0
2021-02-05,Aquidauana,25.6,1010.3,0,0.0
2021-02-06,Campo Grande,22.6,1010.8,0,0.0
2021-02-06,Dourados,23.7,1010.7,0,0.0
2021-02-06,Três Lagoas,25.8,1009.9,0,0.0
2021-02-06,Corumbá,26.6,1009.4,0,0.0
2021-02-06,Ponta Porã,21.1,1012.6,0,0.0
2021-02-06,Aquidauana,24.2,1010.2,0,0.0
2021-02-07,Campo Grande,23.8,1010.5,0,0.0
2021-02-07,Dourados,24.3,1010.8,0,0.0
2021-02-07,Três Lagoas,26.5,1010.5,0,0.0
2021-02-07,Corumbá,26.7,1009.0,0,0.0
2021-02-07,Ponta Porã,22.5,1012.6,0,0.0
2021-02-07,Aquidauana,24.9,1010.0,0,0.0
2021-02-08,Campo Grande,25.1,1010.3,0,0.0
2021-02-08,Dourados,25.0,1010.9,0,0.0
2021-02-08,Três Lagoas,25.9,1011.1,0,0.0
2021-02-08,Corumbá,27.7,1008.3,0,0.0
2021-02-08,Ponta Porã,23.2,1012.8,0,0.0
2021-02-08,Aquidauana,25.8,1009.5,0,0.0
2021-02-09,Campo Grande,24.9,1010.7,0,0.0
2021-02-09,Dourados,24.0,1011.5,0,0.0
2021-02-09,Três Lagoas,26.6,1011.4,0,0.0
2021-02-09,Corumbá,29.2,1008.5,0,0.1
2021-02-09,Ponta Porã,22.9,1013.5,0,0.0
2021-02-09,Aquidauana,26.1,1010.1,0,0.0
2021-02-10,Campo Grande,25.6,1011.4,0,0.3
2021-02-10,Dourados,23.9,1011.7,0,0.5
2021-02-10,Três Lagoas,27.4,1010.9,0,0.0
2021-02-10,Corumbá,27.7,1009.9,0,0.8
2021-02-10,Ponta Porã,23.1,1013.7,0,0.2
2021-02-10,Aquidauana,26.0,1010.7,0,0.0
2021-02-11,Campo Grande,23.4,1011.9,0,10.6
2021-02-11,Dourados,23.4,1011.7,0,3.0
2021-02-11,Três Lagoas,26.2,1010.9,0,0.2
2021-02-11,Corumbá,26.1,1010.6,0,1.7
2021-02-11,Ponta Porã,22.4,1013.2,0,2.2
2021-02-11,Aquidauana,26.2,1010.6,0,2.1
2021-02-12,Campo Grande,22.9,1011.9,0,22.3
2021-02-12,Dourados,23.4,1011.8,0,7.4
2021-02-12,Três Lagoas,25.2,1011.3,0,2.9
2021-02-12,Corumbá,25.1,1010.8,0,13.7
2021-02-12,Ponta Porã,22.4,1013.1,0,6.6
2021-02-12,Aquidauana,25.3,1010.7,0,10.5
2021-02-13,Campo Grande,24.8,1010.5,0,3.4
2021-02-13,Dourados,24.3,1010.9,0,1.8
2021-02-13,Três Lagoas,27.6,1010.8,0,5.2
2021-02-13,Corumbá,27.2,1009.1,0,1.3
2021-02-13,Ponta Porã,23.1,1012.2,0,1.3
2021-02-13,Aquidauana,25.5,1010.1,0,1.8
2021-02-14,Campo Grande,24.0,1009.3,0,8.1
2021-02-14,Dourados,23.5,1009.5,0,16.9
2021-02-14,Três Lagoas,25.4,1010.4,0,4.8
2021-02-14,Corumbá,27.2,1007.6,0,7.0
2021-02-14,Ponta Porã,22.6,1011.0,0,25.4
2021-02-14,Aquidauana,25.3,1008.9,0,7.4
2021-02-15,Campo Grande,23.0,1009.7,0,7.7
2021-02-15,Dourados,24.6,1008.7,0,2.5
2021-02-15,Três Lagoas,25.9,1009.7,0,9.0
2021-02-15,Corumbá,26.7,1008.2,0,8.6
2021-02-15,Ponta Porã,24.6,1010.5,0,2.0
2021-02-15,Aquidauana,25.4,1008.8,0,7.5
2021-02-16,Campo Grande,21.2,1009.7,0,8.6
2021-02-16,Dourados,24.6,1008.5,0,2.0
2021-02-16,Três Lagoas,27.5,1008.5,0,0.6
2021-02-16,Corumbá,25.5,1008.0,0,17.9
2021-02-16,Ponta Porã,23.8,1010.5,0,1.3
2021-02-16,Aquidauana,25.1,1008.9,0,23.3
2021-02-17,Campo Grande,23.3,1008.1,0,10.4
2021-02-17,Dourados,25.6,1008.2,0,0.1
2021-02-17,Três Lagoas,26.8,1007.9,0,3.1
2021-02-17,Corumbá,26.2,1007.4,0,8.7
2021-02-17,Ponta Porã,23.9,1010.2,0,0.3
2021-02-17,Aquidauana,26.3,1007.6,0,10.7
2021-02-18,Campo Grande,25.0,1008.9,0,0.0
2021-02-18,Dourados,25.2,1009.1,0,0.0
2021-02-18,Três Lagoas,27.7,1008.3,0,0.0
2021-02-18,Corumbá,28.0,1007.8,0,0.0
2021-02-18,Ponta Porã,23.2,1011.4,0,0.0
2021-02-18,Aquidauana,25.7,1008.7,0,0.0
2021-02-19,Campo Grande,24.3,1010.4,0,0.0
2021-02-19,Dourados,24.8,1010.3,0,0.0
2021-02-19,Três Lagoas,26.6,1009.6,0,0.0
2021-02-19,Corumbá,27.4,1008.8,0,0.0
2021-02-19,Ponta Porã,23.5,1012.3,0,0.0
2021-02-19,Aquidauana,25.3,1009.3,0,0.0
2021-02-20,Campo Grande,24.8,1011.0,0,0.0
2021-02-20,Dourados,25.5,1011.2,0,0.0
2021-02-20,Três Lagoas,27.6,1010.7,0,0.0
2021-02-20,Corumbá,28.4,1009.4,0,0.0
2021-02-20,Ponta Porã,24.4,1013.3,0,0.0
2021-02-20,Aquidauana,25.8,1010.4,0,0.0
2021-02-21,Campo Grande,26.1,1010.7,0,0.0
2021-02-21,Dourados,27.0,1010.8,0,0.0
2021-02-21,Três Lagoas,29.2,1011.0,0,0.0
2021-02-21,Corumbá,28.9,1008.7,0,0.0
2021-02-21,Ponta Porã,25.9,1012.8,0,0.0
2021-02-21,Aquidauana,26.5,1009.8,0,0.0
2021-02-22,Campo Grande,26.8,1010.6,0,0.0
2021-02-22,Dourados,28.1,1010.3,0,0.0
2021-02-22,Três Lagoas,30.0,1011.0,0,0.0
2021-02-22,Corumbá,29.2,1008.5,0,0.3
2021-02-22,Ponta Porã,26.6,1012.4,0,0.0
2021-02-22,Aquidauana,27.4,1010.0,0,0.2
2021-02-23,Campo Grande,26.3,1011.0,0,1.3
2021-02-23,Dourados,29.0,1010.3,0,0.0
2021-02-23,Três Lagoas,28.5,1011.3,0,0.3
2021-02-23,Corumbá,30.4,1009.2,0,0.2
2021-02-23,Ponta Porã,26.6,1013.0,0,0.0
2021-02-23,Aquidauana,28.4,1010.5,0,0.7
2021-02-24,Campo Grande,26.6,1010.5,0,1.9
2021-02-24,Dourados,29.1,1010.2,0,0.0
2021-02-24,Três Lagoas,30.0,1010.5,0,0.1
2021-02-24,Corumbá,29.2,1009.0,0,3.4
2021-02-24,Ponta Porã,27.9,1012.9,0,0.5
2021-02-24,Aquidauana,28.3,1010.3,0,1.3
